"","Scientific.name","SpcRecID","English.name","Family","Global.IUCN.Red.List.Category","Common.Name","Type.of.migration","Distribution.in.Indian.Sub.Continent","World.Distribution"
"152","Otus brucei",2174,"Pallid Scops-owl","Strigidae (Typical Owls)","LC","Pallid Scops-Owl","vagrant","NE Afghanistan (Wakhan), W & N Pakistan (Baluchistan, Gilgit, W Sind), plains of Pakistan, W Maharashtra, Ambala (N Haryana), Delhi","Arabian Peninsula to WC Asia"
"153","Oxyura leucocephala",359,"White-headed Duck","Anatidae (Ducks, Geese, Swans)","EN","White-headed Duck","sparse winter visitor","NW & NE Afghanistan, N Baluchistan, N Indus valley to Gangetic plain, Calcutta","SW & C Palearctic"
"154","Pandion haliaetus",3324,"Osprey","Pandionidae (Osprey)","LC","Osprey","widespread winter visitor & local resident","NE Afghanistan (Nuristan), E Gilgit to Assam valley, S Assam hills, Bangladesh, Peninsula to Sri lanka, Maldives, Lakshadweep, Andamans, Nicobars, W Himalayas","Holarctic, Australasia, S Hemisphere"
"155","Passer hispaniolensis",8368,"Spanish Sparrow","Passeridae (Sparrows, snowfinches and allies)","LC","Spanish Sparrow","widespread winter visitor","W, N & C Afghanistan, NW India (Haryana, Rajasthan to Gujarat), Pakistan (Panjab, Sind), E Nepal, SE Uttarpradesh, N Pakistan to Baluchistan","S Palearctic to C Asia"
"156","Pelecanus crispus",3811,"Dalmatian Pelican","Pelecanidae (Pelicans)","VU","Dalmatian Pelican","sparse winter visitor","Iranian Seistan, Baluchistan, Sind coasts & deltas (S Pakistan), Kutch & Kathiawar (S Gujarat), Rajasthan, W to C Gangetic plains,NW Afghanistan (Kabul), NW Pakistan, Indus Valley (Pakistan), Assam, Sri Lanka","S & C Eurasia"
"157","Pelecanus onocrotalus",3809,"Great White Pelican","Pelecanidae (Pelicans)","LC","Great White Pelican","widespread winter visitor & local resident","Kutch, Sind, Gujarat to W Gangetic Plains, Gangetic Plains to Assam valley, NE & EC Bangladesh, E Afghanistan (Kabul & Kandahar), NW Pakistan, Indus valley, Peninsular coast, Maldives","S & C Eurasia, Africa"
"158","Pericrocotus divaricatus",5970,"Ashy Minivet","Campephagidae (Cuckoo-shrikes)","LC","Ashy Minivet","vagrant","C Peninsula,W Khandesh, Bombay, C & SE Bangladesh, Andamans","SE Asia, NE Asia"
"159","Pericrocotus roseus",5968,"Rosy Minivet","Campephagidae (Cuckoo-shrikes)","LC","Rosy Minivet","local resident & sparse winter visitor","Himalayas of NWFP, Duars, Assam valley, NE Ghats, W Khandesh (Maharashtra), S Assam hills, Bangladesh, Karachi, W Himalayas","S China to SE Asia"
"160","Phaethon lepturus",3650,"White-tailed Tropicbird","Phaethontidae (Tropicbirds)","LC","White-tailed Tropicbird","vagrant","Maldives, Chagos, W & S coast of Sri Lanka, Andamans, Cachar","all tropical seas"
"161","Phalacrocorax carbo",3679,"Great Cormorant","Phalacrocoracidae (Cormorants)","LC","Great Cormorant","widespread winter visitor & resident","SW Afghanistan (Seistan), N Afghanistan (Badakhshan), Sind, Saurashtra (Gujarat), Gangetic plains, Indian Panjab to Assam valley, C India, E Peninsula, S India, Sri Lanka, NE Afghanistan (Kabul, Jalalabad), Baluchistan coast to Indus valley, S Nepal, Bang","E Hemisphere, NW Atlantic coast"
"162","Phalaropus fulicarius",3065,"Red Phalarope","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC","Red Phalarope","vagrant","Calcutta, Bikaner (Rajasthan), Islamabad (Pakistan)","N Palearctic, W coast of S America, Africa"
"163","Phalaropus lobatus",3064,"Red-necked Phalarope","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC","Red-necked Phalarope","widespread winter visitor","coasts of Mekran & Sind (Pakistan), Gujarat coast, coast of SE India, Sri Lanka, Afghanistan, Pakistan, NW India, W Nepal, Bihar (Patna), S India, Rajasthan (Sambhar Lake)","N Holarctic, Africa, Arabian sea, Pacific Ocean"
"164","Phoenicurus auroreus",6655,"Daurian Redstart","Muscicapidae (Chats and Old World flycatchers)","LC","Daurian Redstart","local resident & winter visitor","NW Bengal to E Himalayas, Assam valley, S Assam hills (Nagaland & Manipur), E Bangladesh, N Arunachal","SE Tibet to NE China, S China, Japan"
"165","Phoenicurus hodgsoni",6653,"Hodgson's Redstart","Muscicapidae (Chats and Old World flycatchers)","LC","Hodgson's Redstart","sparse winter visitor","Himalayas of W Nepal to NE Arunachal, S Assam hills (Khasi hills, Nagaland, Manipur), Uttaranchal","E Tibet, China, N Myanmar"
"166","Phoenicurus ochruros",6651,"Black Redstart","Muscicapidae (Chats and Old World flycatchers)","LC","Black Redstart","local resident & widespread winter visitor","N,C & S Afghanistan, Baluchistan, W & N Pakistan, Sikkim, Himalayas, S Assam hills , Sri Lanka","Palearctic, NE Africa, Myanmar"
"167","Phylloscopus affinis",7709,"Tickell's Leaf-warbler","Phylloscopidae","LC","Tickell's Leaf-Warbler","widespread winter visitor","Himalayas of N Pakistan to Bhutan, Sub-Himalaya plains, S W Bengal, E Peninsular India, SW Ghats, Assam valley, S Assam hills","Tibet, W China, Myanmar"
"168","Phylloscopus fuscatus",7707,"Dusky Warbler","Phylloscopidae","LC","Dusky Warbler","widespread winter visitor","sub-Himalayan plains from Utter Pradesh to Assam, NE India, Bangladesh, S & M Andamans, Narcondam, N Pakistan, Sri Lanka, Kashmir, Meghalaya, E Nepal (Terai to Duars)","SE Tibet to NE Asia, S China, SE Asia"
"169","Phylloscopus griseolus",7711,"Sulphur-bellied Warbler","Phylloscopidae","LC","Sulphur-bellied Warbler","local resident & common winter visitor","EC & NE Afghanistan, Baluchistan, Safed Koh, Himalayas of N Pakistan from Chitral to N Himachal, C India (Madhya Pradesh), N W Ghats","C Asia"
"170","Phylloscopus inornatus",7719,"Yellow-browed Warbler","Phylloscopidae","LC","Inornate Warbler","local resident & widespread winter visitor","Himalayan footlines of C Nepal to Arunachal, S Assam hills (Meghalaya, South to Lushai Hills), Bangladesh (Chittagongs, Ganges delta), Narcondam, S Andaman, E Ghats of Andhra Pradesh, W Khandesh, NE India","C & E palearctic, S China, SE Asia"
"171","Phylloscopus neglectus",7704,"Plain Leaf-warbler","Phylloscopidae","LC","Plain Leaf-Warbler","sparse winter visitor","Afghanistan, Baluchistan, Kashmir, Indus valley, Sind, S & C Panjab (Pakistan)","SW & C Asia"
"172","Phylloscopus sindianus",30128,"Mountain Chiffchaff","Phylloscopidae","LC","Mountain Chiffchaff","sparse winter visitor","Himalayas from Chitral (NW Pakistan), Gilgit, Hunza, Baltistan, Ladakh, Rupshu,Zaskar, to Lahul (N Himachal), Kashmir valley, Sind, Haryana, Uttar Pradesh, Madhya Pradesh (Bheraghat), Seistan, Iran-Afghan border (helmand river), Ghorbad","W & C Asia, W Tibet"
"173","Phylloscopus trochiloides",1018141,"Greenish Warbler","Phylloscopidae","LC","Greenish Warbler","local resident & widespread winter visitor","N Afghanistan, Himalayas of N Pakistan to Arunachal, Cachar, Terai, NW Peninsula, Sri Lanka, W Meghalaya (Garo hills), W assam valley, C Bangladesh (Dhaka), himalayas of nepal, Duars, Calcutta, NE Ghats, S Assam hills, Himalayas, Andamans","W & C Palearctic, NW Mongolia, SE Tibet, W China, N & SE Asia"
"174","Platalea leucorodia",3802,"Eurasian Spoonbill","Threskiornithidae (Ibises, Spoonbills)","LC","Eurasian Spoonbill","widespread winter visitor & resident","S Sind (Pakistan), N India to Assam, S India, Sri Lanka, Mekran coast, Indus valley, NW & E Afghanistan, N Pakistan","Eurasia, Africa"
"175","Plegadis falcinellus",3777,"Glossy Ibis","Threskiornithidae (Ibises, Spoonbills)","LC","Glossy Ibis","widespread winter visitor & resident","N plains, S India, Sri Lanka","CE & SE Hemisphere, E & N America"
"176","Pluvialis fulva",3112,"Pacific Golden Plover","Charadriidae (Plovers)","LC","Pacific Golden-Plover","widespread winter visitor","Pakistan to Bangladesh, Maldives, Lakshadweep, Sri Lanka, S Andamans, Car & C Nicobars, Chagos, S Afghanistan, N Subcontinent, Peninsula","N Asia, Alaska, E Africa to W USA"
"177","Pluvialis squatarola",3114,"Grey Plover","Charadriidae (Plovers)","LC","Grey Plover","widespread winter visitor","Maldives, Lakshadweep, Chagos, S Andamans, NIcobars, E Afghanistan","N holarctic, S Asia, S Africa, South of S america"
"178","Podiceps cristatus",3639,"Great Crested Grebe","Podicipedidae (Grebes)","LC","Great Crested Grebe","local resident & sparse winter visitor","Iranian Seistan, Khushdil Khan Lake (Baluchistan), Kashmir (Wular Lake), Ladakh, W Gangetic Plain (Doab, Avadh, Fategarh), Kutch & Kathiawar (SW Gujarat), NW India, Gangetic plains to Assam valley,NW Afghanistan (Kabul), NW Pakistan, Baluchistan, Indus Va","E Hemisphere"
"179","Podiceps grisegena",3638,"Red-necked Grebe","Podicipedidae (Grebes)","LC","Red-necked Grebe","vagrant","NW Asia, Iranian Seistan, NE Afghanistan (Kabul), N & C Pakistan, W India, W Gujarat, NW Himachal, W Gangetic plain, Assam","Holarctic, Caspian region"
"180","Podiceps nigricollis",3641,"Black-necked Grebe","Podicipedidae (Grebes)","LC","Black-necked Grebe","sparse winter visitor","Iran, NE & SE Afghanistan, Baluchistan,Saline Lakes of Indus Valley (Pakistan), C Nepal, Gujarat,W Gangetic plain, E Assam valley, NE Bangladesh","Coastal Orissa, Pune, Holarctic, Africa"
"181","Porzana porzana",2903,"Spotted Crake","Rallidae (Rails, Gallinules, Coots)","LC","Spotted Crake","common winter visitor","NW & NC plains, Peninsula","W & C Palearctic, Africa, S Asia"
"182","Prunella atrogularis",8475,"Black-throated Accentor","Prunellidae (Accentors)","LC","Black-throated Accentor","sparse winter visitor","Afghanistan, Baluchistan, W Himalayas, N Pakistan, Nepal","S Tibet, W & C Asia"
"183","Pterocles alchata",2959,"Pin-tailed Sandgrouse","Pteroclidae (Sandgrouse)","LC","Pin-tailed Sandgrouse","vagrant","W Afghanistan, SW Baluchistan, W Pakistan, NW India (Haryana to Gujarat), SW palearctic to W Asia",""
"184","Pterocles orientalis",2964,"Black-bellied Sandgrouse","Pteroclidae (Sandgrouse)","LC","Black-bellied Sandgrouse","widespread winter visitor & resident","Afghanistan, Baluchistan, Pakistan, NW india (Rajasthan, Gujarat), Karnataka, Nepal","SW Palearctic, C Asia"
"185","Pterocles senegallus",2962,"Spotted Sandgrouse","Pteroclidae (Sandgrouse)","LC","Spotted Sandgrouse","sparse winter visitor","SW Afghanistan, Sind, Pakistan, W Rajasthan, NW India (Rajasthan, Gujarat)","N Africa, Middle East"
"186","Ptyonoprogne obsoleta",7113,"Pale Rock Martin","Hirundinidae (Swallows and martins)","LC","Pale Crag-Martin","Native (Local Migrant)","S Afghanistan, S Waziristan, N Baluchistan, Sind, Kutch (Gujarat)","N Africa to W Asia"
"187","Puffinus persicus",3945,"Persian Shearwater","Procellariidae (Petrels, Shearwaters)","LC","Persian Shearwater","sparse summer visitor","Mekran & Karachi coast, Bombay","islands of Arabian Peninsula"
"188","Rallus aquaticus",1016504,"Western Water Rail","Rallidae (Rails, Gallinules, Coots)","LC","Water Rail","common winter visitor, some resident","SW, NW & NE Afghanistan, Baluchistan to Gilgit, Pakistan, W Uttaranchal, Rajastan","W & C Palearctic, N Africa to W S Asia"
"189","Recurvirostra avosetta",3107,"Pied Avocet","Recurvirostridae (Avocets, Stilts)","LC","Pied Avocet","widespread winter visitor & local resident","EC Afghanistan (Lake Ab-i-Estada), Sind (Pakistan), Kutch (S Gujarat), Afghanistan, N India, W coast of India, Sri Lanka, Assam & Bangladesh coast, Kashmir, Nepal, Baluchistan, Lakshadweep","Palearctic, Africa, SE Asia"
"190","Rynchops albicollis",3206,"Indian Skimmer","Laridae (Gulls, Terns, Skimmers)","VU","Indian Skimmer","widespread resident","N Pakistan (NWFP, N Indus valley), S Sind, NW I ndia, Rajasthan to Madhya Pradesh, W Bihar, SE Madhya Pradesh, EC Andhra Pradesh, N Maharashtra (Dhule), SW Gujarat, N West coast, coastal & inland Bangladesh, S Nepal to W Assam","SE Asia"
"191","Sarkidiornis melanotos",1016940,"African Comb Duck","Anatidae (Ducks, Geese, Swans)","LC","Comb Duck","Native (Local Migrant)","Lahor, SE Sind (Pakistan), N Plains to Assam valley, S Peninsula, N Kerala, Sri Lanka","Africa to SE Asia"
"192","Saxicola insignis",6680,"White-throated Bushchat","Muscicapidae (Chats and Old World flycatchers)","VU","White-throated Bushchat","sparse winter visitor","sub-Himalayan terai, Duars, Haryana to W Bengal, Assam valley","W Kazakhstan to Inner Mongolia, S Asia"
"193","Saxicola torquatus",6682,"Common Stonechat","Muscicapidae (Chats and Old World flycatchers)","LC","Siberian Stonechat","local resident & widespread winter visitor","C & NE Afghanistan, W & N Pakistan, Himalayas to Arunachal, S Assam hills (Assam & Nagaland), S Andamans","Eurasia, Africa"
"194","Scolopax rusticola",2978,"Eurasian Woodcock","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC","Eurasian Woodcock","widespread winter visitor & resident","N & E Afghanistan, Baluchistan, NWFP, Himalayas of N Pakistan to Arunachal, Himalayas, S Assam hills ( Meghalaya, Lushai hills), W & E Ghats, Karnataka, S India, Sri Lanka, C & NE Bangladesh","Palearctic, N Africa to Indonesia"
"195","Stercorarius parasiticus",3201,"Arctic Jaeger","Stercorariidae (Skuas)","LC","Parasitic Jaeger","sparse winter visitor","Pakistan coast, Mekran","N Holarctic, all South oceans coast"
"196","Stercorarius pomarinus",3200,"Pomarine Jaeger","Stercorariidae (Skuas)","LC","Pomarine Jaeger","sparse winter visitor","S & W coast of India, Pakistan coast, Sri Lanka","N Holarctic, S oceans"
"197","Sterna hirundo",3270,"Common Tern","Laridae (Gulls, Terns, Skimmers)","LC","Common Tern","widespread winter visitor & resident","N, W & EC Afghanistan, Ladakh, E sri Lanka, Adam's bridge, Pakistan coast, Bangladesh coast, Nepal, Bhutan, Chagos, N Baluchistan, islets of Jaffna Peninsula & Sri Lanka","Holarctic"
"198","Streptopelia orientalis",2501,"Oriental Turtle-dove","Columbidae (Pigeons, Doves)","LC","Oriental Turtle-Dove","widespread resident & winter visitor","C to E Afghanistan, Himalayas of N Pakistan to C Nepal to Arunachal, S Assam hills (Meghalaya, South to Lushai Hills), NE Bangladesh (Sylhet), C India, W & NE Ghats, Peninsula to Sri lanka, Maldives, Lakshadweep","C Asia, Tibet to NE Asia, SE Asia"
"199","Sula sula",3658,"Red-footed Booby","Sulidae (Gannets, Boobies)","LC","Red-footed Booby","vagrant","Islands of Chagos, Maldives, Lakshadweep, Sri Lanka, Bay of Bengal","all tropical seas"
"200","Sylvia curruca",32426,"Lesser Whitethroat","Sylviidae (Old World warblers)","LC","Lesser Whitethroat","widespread winter visitor","Afghanistan, N Subcontinent, W Bengal, Nepal, NE Bangladesh, Peninsula, Sri Lanka","W palearctic, NE Africa"
"201","Tadorna ferruginea",397,"Ruddy Shelduck","Anatidae (Ducks, Geese, Swans)","LC","Ruddy Shelduck","widespread winter visitor & local resident","N Afghanistan, Chitral (Pakistan), Ladakh, N Nepal, Bhutan, Iraian Seistan, E Afghanistan, Indus valley, N plains to assam valley, Ganges Delta, Peninsular India, Sri Lanka, Lakshadweep, S Andaman","C Eurasia, SE Asia"
"202","Tadorna tadorna",402,"Common Shelduck","Anatidae (Ducks, Geese, Swans)","LC","Common Shelduck","Native (Local Migrant)","E Afghanistan (Lake Ab-i-Estada), Baluchistan, Seistan, Sind, N Afghanistan, E Panjab (Pakistan), N plains to Assam valley, Chilka Lake (Orissa), N Maharastra, Indus Valley (Pakistan)","C Palearctic, N Africa, SE Asia"
"203","Tetrax tetrax",2759,"Little Bustard","Otididae (Bustards)","NT","Little Bustard","vagrant","NW & SE Afghanistan, Mekran coast (Pakistan), N Pakistan, Gilgit, Kashmir, Saharunpur (Uttar Pradesh)","SW to SC palearctic"
"204","Tichodroma muraria",6904,"Wallcreeper","Sittidae (Nuthatches and Wallcreeper)","LC","Wallcreeper","local resident & widespread winter visitor","Hills of NC & NE Afghanistan, Himalayas from N Pakistan, Gangetic plain, Meghalaya","Palearctic"
"205","Tringa erythropus",3016,"Spotted Redshank","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC","Spotted Redshank","widespread winter visitor","SW Afghanistan (Seistan), Indus Valley (Pakistan), N plain to Bihar, W Assam, Bangladesh, SW & N Gujarat, Madras, Sri Lanka, E Afghanistan, N Pakistan, NC Nepal","N Palearctic, Africa to SE Asia"
"206","Tringa glareola",3025,"Wood Sandpiper","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC","Wood Sandpiper","widespread winter visitor","S Afghanistan, Indus valley (Pakistan), Himalayas to Assam valley, S Assam hills (Meghalaya, Cacher), Bangladesh, Peninsula to Sri Lanka, Maldives, S Andamans, Lakshadweep, Chagos, Afghanistan, W & NW Pakistan, W & NW India, Nepal","Palearctic, Africa to Australasia"
"207","Tringa glareola",3025,"Wood Sandpiper","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC","Wood Sandpiper","widespread winter visitor","S Afghanistan, Indus valley (Pakistan), Himalayas to Assam valley, S Assam hills (Meghalaya, Cacher), Bangladesh, Peninsula to Sri Lanka, Maldives, S Andamans, Lakshadweep, Chagos, Afghanistan, W & NW Pakistan, W & NW India, Nepal","Palearctic, Africa to Australasia"
"208","Tringa nebularia",3019,"Common Greenshank","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC","Common Greenshank","widespread winter visitor","S Afghanistan, Baluchistan, Indus Valley (Pakistan), Himalayas to Assam valley, Manipur, Bangladesh, Peninsula, Maldives, Sri Lanka, Lakshadweep, Chagos, Andamans (Middle & South)","Palearctic, Africa to Australia"
"209","Tringa ochropus",3024,"Green Sandpiper","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC","Green Sandpiper","widespread winter visitor","SE Afghanistan, Baluchistan, Indus valley (Pakistan), Himalayas to Arunachal, S Assam hills (E Meghalaya, Cachar, Manipur, Lushai hills), C & NE Bangladesh, Peninsula to Sri Lanka, S Andamans, Lakshadweep","Palearctic, Africa to Indonesia, Philippines"
"210","Tringa stagnatilis",3018,"Marsh Sandpiper","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC","Marsh Sandpiper","widespread winter visitor","NWFP, Indus valley (Pakistan), Gangetic plains, Delhi to Assam valley, Manipur valley, C & NE Bangladesh, Peninsula, Sri Lanka, Maldives","C palearctic, Africa to Australia"
"211","Tringa totanus",3017,"Common Redshank","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC","Common Redshank","widespread winter visitor & resident","E Afghanistan (Dasht-e-Narwar, Wakhan), Himalayas (Astor valley, Baltistan, Ladakh, Rupshu) N Sikkim, Maldives, Lakshadweep, S Andamans, Nicobars","Palearctic, Africa to Indonesia, Philippines"
"212","Turdus feae",6398,"Grey-sided Thrush","Turdidae (Thrushes)","VU","Grey-sided Thrush","sparse winter visitor","S Assam hills (Khasi hills, N Cachar, S Nagaland, Manipur), NE India, NE W-Bengal","NE China, SE Asia"
"213","Turdus obscurus",6399,"Eyebrowed Thrush","Turdidae (Thrushes)","LC","Eyebrowed Thrush","sparse winter visitor","Bhutan to Arunachal, S Assam hills, Lushai hills, S Andamans, Narcondam, NE & SE Bangladesh, Himalayas, C Nepal, S Peninsula, Sri Lanka, Maldives","C & E Palearctic, W Indonesia"
"214","Upupa epops",984,"Common Hoopoe","Upupidae (Hoopoes)","LC","Eurasian Hoopoe","widespread resident & winter visitor","Afghanistan, W Pakistan, W Himalayas, Kashmir, Bhutan, Indus Valley (Pakistan), Gangetic plain to Assam valley, Peninsula, Maldives, Sri Lanka, Lakshadweep, S Andamans","Palearctic, Tibet, SE Asia"
"215","Vanellus cinereus",3164,"Grey-headed Lapwing","Charadriidae (Plovers)","LC","Grey-headed Lapwing","widespread winter visitor","Eastern plains, C Nepal, Bihar, Assam, S Assam hills (Cachar, Manipur), NW & C Bangladesh, SW Bengal (Calcutta), Orissa, Delhi, Bharatpur, Kashmir, N & S Gujarat, S Peninsula, SE Sri Lanka, S Andamans, Himalayan foothills","NE Asia, SE Asia"
"216","Vanellus gregarius",3172,"Sociable Lapwing","Charadriidae (Plovers)","CR","Sociable Lapwing","sparse winter visitor","Indus Valley, W India (Haryana to Bihar), S & E Maharashtra, N & W Afghanistan, N Baluchistan, N Pakistan, Himachal Pradesh, S tip of India, W coast of Sri Lanka, Maldives","SC Russia, Kazakhsta, NE Africa to S Asia"
"217","Vanellus vanellus",3153,"Northern Lapwing","Charadriidae (Plovers)","NT","Northern Lapwing","widespread winter visitor","Afghanistan, Pakistan (N Baluchistan, Indus valley, Chitral), Kashmir, N plains to Assam valley, NE Bangladesh, S Gujarat (Kathiyawar), N Bhutan","Palearctic, N Africa to SE Asia"
"218","Acrocephalus aedon",NA,NA,NA,NA,"Thick-billed Warbler","sparse winter visitor","Terai of Nepal, Duars of W Bengal, Assam, S Assam hills (Meghalaya, Manipur), E Bangladesh, Calcutta, SW to N Eastern Ghats, S Peninsula, W Ghats from S Goa, Andamans (South, Long, Narcondam), Nicobars (Camorta)","NE Asia, SE Asia"
"219","Acrocephalus arundinaceus",NA,NA,NA,NA,"Great Reed-Warbler","sparse winter visitor","NW Afghanistan, N Baluchistan, Pakistan, Ladakh, Iran","C Asia, W Palearctic, Africa"
"220","Acrocephalus orinus",NA,NA,NA,NA,"Large-billed Reed-warbler","Vagrant","Himachal, (near Rampur, Sutlej valley)",""
"221","Acrocephalus schoenobaenus",NA,NA,NA,NA,"Sedge Warbler","vagrant","Ladakh, Afghanistan, Baluchistan","W & C Palearctic, W Iran, Africa"
"222","Aegolius funereus",NA,NA,NA,NA,"Boreal Owl","vagrant","N Himachal, N Pakistan","Holarctic"
"223","Aix galericulata",NA,NA,NA,NA,"Mandarin Duck","vagrant","NE India, Assam valley, E Nepal, NE Bangladesh, Manipur","E Asia, UK"
"224","Anas  platyrhynchos",NA,NA,NA,NA,"Mallard","widespread winter visitor & local resident","Afghanistan, Himalayas, N Subcontinent","Holarctic, N Africa, C & SE Asia"
"225","Anas albogularis",NA,NA,NA,NA,"Sunda Teal","local resident & winter visitor","Andamans","Coco islands, Myanmar"
"226","Anas clypeata",NA,NA,NA,NA,"Northern Shoveler","widespread winter visitor","NE Afghanistan (Kabul), E Afghanistan, SW Afghanistan (Seistan), N plains to Assam valley, Peninsula to Sri Lanka, Maldives, Himalayas","Holarctic, tropics"
"227","Anas falcata",NA,NA,NA,NA,"Falcated Duck","sparse winter visitor","NW Afghanistan, Indus Valley (Pakistan), W Gujarat, N plains to Assam valley, S Assam hills, Bangladesh, S & W Bengal","NE Asia, E Asia"
"228","Anas formosa",NA,NA,NA,NA,"Baikal Teal","vagrant","Bihar, W Bengal, E Assam, sind, Panjab, Pakistan,NW India, NE Bangladesh, NE Afghanistan","N, C & S Asia"
"229","Anas penelope",NA,NA,NA,NA,"Eurasian Wigeon","widespread winter visitor","Afghanistan, Pakistan, N plain to Assam valley, Peninsula to Sri Lanka","N Eurasia, Paleotropics"
"230","Anas querquedula",NA,NA,NA,NA,"Garganey","widespread winter visitor","S Sind (Pakistan), SC Nepal, Assam valley, Peninsula to Sri Lanka, Maldives, Afghanistan, Indus Valley, NW India to Nepal, Lakshadweep","Eurasia, C Africa to SE Asia"
"231","Anas strepera",NA,NA,NA,NA,"Gadwall","widespread winter visitor","NW & SW Afghanistan (Seistan), N Subcontinent, Sri Lanka","Holarctic, SE Asia, C Africa"
"232","Anous minutus",NA,NA,NA,NA,"Black Noddy","vagrant","Lakshadweep, Nicobar, Minicoy, Mouth of Ganges, Sri Lanka","Pelagic, Pantropical oceans"
"233","Anser erythropus",NA,NA,NA,NA,"Lesser White-fronted Goose","vagrant","N Pakistan, Haryana, C Uttar Pradesh, NE Bihar, Sind, Kashmir, Assam, W Bengal, Bangladesh, Pune (NW Maharashtra), Iranian Seistan, E Myanmar","N palearctic, S palearctic"
"234","Anser fabalis",NA,NA,NA,NA,"Bean Goose","vagrant","Nepal, Panjab, Assam,SE Bangladesh","N Palearctic, S Palearctic"
"235","Anthus pratensis",NA,NA,NA,NA,"Meadow Pipit","vagrant","NE Afghanistan (Kabul), NWFP, NW Pakistan, Kashmir, Sind, Gujarat,Delhi, Assam valley, Bharatpur, Firozpur, Hisar, Garhwal","W Palearctic, N Africa, W Asia"
"236","Aquila clanga",NA,NA,NA,NA,"Greater Spotted Eagle","widespread winter visitor & resident","NE Afghanistan, Sind, Indus valley, N plains to W Assam, C Bangladesh, C India, C & S Peninsula","C to E Palearctic, Africa to SE Asia"
"237","Ardea sumatrana",NA,NA,NA,NA,"Great-billed Heron","local resident & winter visitor","Nicobars (Trinkut, Katchall, Great Nicobar, coast of SE Asia to Australia",""
"238","Ardeola grayii",NA,NA,NA,NA,"Indian Pond-Heron","widespread resident","Indus valley to Assam valley, S Assam hills, Peninsula to Sri Lanka, Maldives, Lakshadweep, Andamans, C NIcobars, Myanmar","S Thailand, Middle East"
"239","Bombycilla garrulus",NA,NA,NA,NA,"Bohemian Waxwing","vagrant","Hills of Baluchistan, Karachi, Himalayas of Afghanistan-Pakistan, himalayas (india), Nepal","Holarctic"
"240","Branta ruficollis",NA,NA,NA,NA,"Red-breasted Goose - vagrant","vagrant","Madhya Pradesh, Assam","Siberia, SE Europe, SW Asia"
"241","Bulweria bulwerii",NA,NA,NA,NA,"Bulwer's Petrel","vagrant","Maldives, SW Sri Lanka, Lakshadweep","Tropical seas"
"242","Bulweria fallax",NA,NA,NA,NA,"Jouanin's Petrel","sparse summer visitor","W coast of India, N Indian ocean, Socotra","Arabian sea to Indonesia"
"243","Bulweria fallax",NA,NA,NA,NA,"Jouanin's Petrel","sparse summer visitor","W coast of India, N Indian ocean, Socotra","Arabian sea to Indonesia"
"244","Butastur teesa",NA,NA,NA,NA,"White-eyed Buzzard","widespread resident","NE Afghanistan (Nuristan), NW Pakistan, NW Himalayas to Himachal, Sub-Himalayas from SW Baluchistan to W Bengal, NC Bangladesh, S Peninsula, S Assam hills","SE Iran to Myanmar, S Tibet"
"245","Butorides striatus",NA,NA,NA,NA,"Striated Heron","widespread resident","along coasts & major River from Sind to Assam valley, S Assam hills, Bangladesh, Peninsula to Sri Lanka, Maldives, S & M Andamans, Car & C Nicobars, W Baluchistan, Lakshadweep","Almost cosmopolitan exept N America"
"246","Calandrella brachydactyla",NA,NA,NA,NA,"Greater Short-toed Lark","widespread winter visitor","Afghanistan, Ladakh, N Pakistan, W Himalayas, NW India, South India to Bombay, East India to Delhi, Peninsula","S Europe, N Afica, NC Asia"
"247","Calonectris leucomelas",NA,NA,NA,NA,"Streaked Shearwater","Summer & Winter visitor","coast of Sri lanka & extreme S India, NW Pacific, E Indian Ocean","Israel"
"248","Carduelis spinus",NA,NA,NA,NA,"Eurasian Siskin","vagrant","NE Afghanistan (Kabul), Himalayas of Himachal, C Nepal","W Palearctic, E Asia"
"249","Casmerodius albus",NA,NA,NA,NA,"Great Egret","Widespread resident & sparse winter visitor","NE & W Afghanistan, N & S Indus valley, Mekran coast (Pakistan), Himalayas to Assam valley, Sri Lanka, Baluchistan, Maldives, S Andaman","cosmopolitan"
"250","Catharacta lonnbergi",NA,NA,NA,NA,"Brown Skua","vagrant","Sri Lanka, W India coast (Ratnagiri, S Maharastra, Udipi, Karnataka, Trivendrum), Lakshadweep, Maldives","Subantartic, Antartic, S oceans"
"251","Catharacta maccormicki",NA,NA,NA,NA,"South Polar Skua","vagrant","W coast of Sri Lanka, Lakshadweep, Maldives, Sri Lanka","Antarctica, most Oceans"
"252","Cettia canturians",NA,NA,NA,NA,"Manchurian Bush-Warbler","vagrant","W Bengal (Duars), Cachar, Khasi hills","N & E China, S China to Philippines"
"253","Cettia cetti",NA,NA,NA,NA,"Cetti's Warbler","sparse winter visitor","NW & S Afghanistan, Pakistan, NW india (Rajasthan, Panjab)","W Palearctic"
