"","Scientific.name","SpcRecID","English.name","Family","Global.IUCN.Red.List.Category","Common.Name","Type.of.migration","Distribution.in.Indian.Sub.Continent","World.Distribution"
"91","Emberiza schoeniclus",8966,"Reed Bunting","Emberizidae (Buntings, American sparrows and allies)","LC","Reed Bunting","local resident & sparse winter visitor","Afghanistan, Pakistan, NW India to delhi, Iranian Seistan","Palearctic"
"92","Emberiza spodocephala",1017759,"Black-faced Bunting","Emberizidae (Buntings, American sparrows and allies)","LC","Black-faced Bunting","sparse winter visitor","Assam valley, S Assam hills,NE & EC Bangladesh, Terai, Duars, C Nepal","E Asia"
"93","Falco amurensis",3604,"Amur Falcon","Falconidae (Falcons, Caracaras)","LC","Amur Falcon","widespread winter migrant","C & E Himalayas, S Assam hills (E Meghalaya, Cachar, Manipur), Peninsula, Maldives, Sri Lanka","SE Asia, Bhutan, NE Asia, SE Africa"
"94","Falco cherrug",3619,"Saker Falcon","Falconidae (Falcons, Caracaras)","EN","Saker Falcon","sparse winter visitor","N Afghanistan, N & W Pakistan, Gujarat, Delhi, Ladakh, Baluchistan, Nepal, NC Bangladesh","E Europe to NE Asia, E Africa, EC Asia"
"95","Falco columbarius",3608,"Merlin","Falconidae (Falcons, Caracaras)","LC","Merlin","widespread winter migrant","Afghanistan, NW India to Delhi","N Holarctic, N tropics"
"96","Falco naumanni",3589,"Lesser Kestrel","Falconidae (Falcons, Caracaras)","LC","Lesser Kestrel","widespread winter migrant","NE Afghanistan (Badakhshan), N Afghanistan, Delhi, S Assam Hills, Darjeeling, Nepal, Maldives, sri Lanka (Yala), Orissa","S palearctic, Africa"
"97","Falco peregrinus",1016472,"Peregrine Falcon","Falconidae (Falcons, Caracaras)","LC","Peregrine Falcon","widespread winter visitor & resident","Himalayas from W Himachal to Bhutan, S Assam hills (E Meghalaya), forested hills of C India, E Ghats, W Ghats, Sri Lanka, Gangetic plains, Nicobar, NW Afghanistan, Indus valley, N plains to Assam, S Assam hills (Cachar, Nagaland, Manipur), C Bangladesh, P","E China,SE Asia"
"98","Falco severus",3612,"Oriental Hobby","Falconidae (Falcons, Caracaras)","LC","Oriental Hobby","widespread resident","Himalayas from W Uttaranchal to Arunachal, S Assam hills (Cachar, Nagaland to Lushai hills), S W-Ghats, Sri Lanka, Murree hills, Pakistan, Kashmir","Philippines, SW Pacific"
"99","Falco subbuteo",3610,"Eurasian Hobby","Falconidae (Falcons, Caracaras)","LC","Eurasian Hobby","widespread winter visitor & local resident","N Afghanistan, WHimalayas from Chitral to Kashmir, Nepal, Bhutan, NW & CW Peninsula, C India,Terai, Duars, S Bangladesh, Cachar, Manipur, Maldives","Africa, SE Asia, W Indonesia"
"100","Falco tinnunculus",3590,"Common Kestrel","Falconidae (Falcons, Caracaras)","LC","Common Kestrel","widespread winter visitor & resident","NW & E Afghanistan, Baluchistan, Himalayas (Chitral Himachal, Kashmir), Bhutan, W Ghats & hills of Sri Lanka , Lakshadweep, Maldives, S Assam hills","Palearctic, Africa, W Indonesia, Philippines"
"101","Ficedula parva",32599,"Red-breasted Flycatcher","Muscicapidae (Chats and Old World flycatchers)","LC","Red-breasted Flycatcher","widespread winter visitor","Afghanistan (except mountains), Pakistan, Indus valley, S of Himalayas, NW & C India, NW Ghats, W Bengal, S India","W Palearctic, S Asia"
"102","Fringilla montifringilla",8757,"Brambling","Fringillidae (Finches and Hawaiian honeycreepers)","LC","Brambling","sparse winter visitor","Afghanistan, N Baluchistan, Pakistan, NWFP, Himalayas, Nepal, Bhutan","N & S Palearctic"
"103","Fulica atra",2944,"Common Coot","Rallidae (Rails, Gallinules, Coots)","LC","Common Coot","local resident & widespread winter visitor","S Afghanistan, Baluchistan, Sind, Kashmir, Gujarat, Peninsula, Kerala, Sri Lanka , Himalayas, Indus Valley (Pakistan), Nepal , Maldives, S Assam hills","Palearctic, Africa, Indonesia, Australia, Philippines"
"104","Gallinago gallinago",2990,"Common Snipe","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC","Common Snipe","widespread winter visitor & local resident","Badakhshan, Afghanistan, Kashmir, Himalayas to Assam valley, S Assam hills (E Meghalaya, Cachar, Manipur), NE Bangladesh, SW Bengal, Orissa, Gangetic plains, C India, Peninsula,Sri Lanka, Maldives, Andamans (South), N Baluchistan, NW Himalayas, Nepal, B","Palearctic, Africa to Indonesia, Philippines"
"105","Gallinago megala",2988,"Swinhoe's Snipe","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC","Swinhoe's Snipe","sparse winter visitor","Bombay, S India, Sri Lanka, Maldives, E Assam Valley, Nagaland, Calcutta, Nepal, Meghalaya, NE Bangladesh","N Asia, Australasia"
"106","Gallinago stenura",2987,"Pintail Snipe","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC","Pintail Snipe","widespread winter visitor","Peninsula from S Bobmbay, to EC India, S Nepal to Arunachal, Assam valley, S Assam hills (Lushai hills), Bangladesh, Maldives, S Andamans, Pakistan (S Sind), Kashmir to Himachal, NIcobars, Peninsula, Sri Lanka, NE India","N Asia, Indonesia, Philippines"
"107","Gavia arctica",3866,"Arctic Loon","Gaviidae (Loons/Divers)","LC","Arctic Loon","vagrant","Ambala, N Haryana","Palearctic, W N America"
"108","Glareola pratincola",3187,"Collared Pratincole","Glareolidae (Coursers, Pratincoles)","LC","Collared Pratincole","sparse winter visitor","N & SE Afghanistan, S Sind, Indus Valley (Pakistan), Panjab (India), Panjab (Pakistan), Gujarat, W coast of India, S Sri Lanka, Allahabad, Sind","Africa, S Palearctic to C Asia"
"109","Grus grus",2794,"Common Crane","Gruidae (Cranes)","LC","Common Crane","common winter visitor","NW india (Rajasthan, Gujarat), Kashmir, Gangetic plain, Assam valley, W & E Afghanistan, C Nepal, Indus river, Mekran coast(Pakistan)","N Palearctic, Africa, SE China"
"110","Haematopus ostralegus",32115,"Eurasian Oystercatcher","Haematopodidae (Oystercatchers)","NT","Eurasian Oystercatcher","widespread winter visitor","SW Afghanistan (Seistan), Pakistan coast W & E India, Bangladesh, Sri Lanka, Kashmir, C Nepal, Baluchistan, Maldives, Sunderbans (Khulna)","Palearctic, C Africa, SE Asia"
"111","Haliaeetus albicilla",3364,"White-tailed Sea-eagle","Accipitridae (Hawks, Eagles)","LC","White-tailed Eagle","sparse winter visitor","W Afghanistan (Seistan, Maimanah), W & S Pakistan, N sub-Himalayan region to Assam valley, NW Bangladesh","Palearctic, Middle East, SE Asia"
